"","city","n_A","n_B","n_C","n_D","area_sqkm_A","area_sqkm_B","area_sqkm_C","area_sqkm_D"
"1","Albany",6,7,9,6,11.1849204316538,7.7301336450686,11.6411688068743,6.61467306101513
"2","Binghamton-Johnson City",4,11,10,3,1.66439391584299,13.6375918109566,17.7690751015581,0.991526365342841
"3","Bronx",2,11,23,7,2.48615901874033,8.35391283302059,42.5290542986541,16.305754533801
"4","Brooklyn",1,17,25,23,0.846664942610537,29.2783069799407,41.4119583053455,50.6223130218275
"5","Buffalo",7,13,8,5,8.63746510822766,33.3878368599078,42.4098765304988,4.83441028108471
"6","Elmira",1,5,10,8,0.365994734457673,5.271940339526,12.0128596771146,5.48238990275856
"7","Lower Westchester Co.",18,30,28,14,27.6862102353999,25.1369920202403,16.9826522756477,5.92130502796151
"8","Manhattan",8,12,6,27,3.41022936774452,8.69368122318624,3.72230233349768,18.702161223248
"9","Niagara Falls",1,7,4,2,0.793578794878448,6.90273746169705,4.71523325371611,2.86493073436801
"10","Poughkeepsie",1,4,7,5,2.28488393652498,4.17200839584869,4.87116356461574,1.86795312467236
"11","Queens",1,17,111,39,0.412787019631756,15.7884069725815,110.26874345558,21.8915345958702
"12","Rochester",12,16,26,7,9.26077042030279,20.1078110159735,55.5716543811142,10.5518005135545
"13","Schenectady",5,5,20,7,2.53524340146954,6.03208976183758,20.8891980698787,3.3067354850405
"14","Staten Island",4,15,24,23,3.51586227618103,6.97342963541968,25.3873187054877,20.7042376225259
"15","Syracuse",5,19,19,6,6.0562200423139,19.8785759224676,24.5082168616875,5.27687487803967
"16","Troy",1,11,15,9,0.953709852132333,3.49273781161585,8.1303724934798,4.71803946482886
"17","Utica",4,4,11,6,4.69490123362613,4.57063005312291,18.1437885972631,7.71080768335672
